1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Statistic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,93.0,97.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,97.0,99.0,96.0,98.0,98.0,90.0,71.0,52.0,50.0,76.0,76.0,76.0,,DTP3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,48.0,77.0,98.0,97.0,96.0,92.0,84.0,66.0,48.0,21.0,46.0,46.0,46.0,,HepB3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,46.0,81.0,66.0,51.0,26.0,83.0,83.0,83.0,,Hib3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,94.0,96.0,97.0,92.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,97.0,94.0,75.0,56.0,67.0,79.0,79.0,79.0,,MCV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7993997,236.93228369999997,235.6557779,227.18811019999998,207.2932007,214.9342722,245.11924469999997,291.93034710000006,364.31487480000004,403.10091939999995,417.3969548,463.2183297,512.9321911999999,561.206273,568.8262882,602.9875096,581.3360339,636.3530089,665.1487563,584.2359972999999,,expend
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,94.5,94.5,94.5,94.5,94.6,94.7,94.7,94.8,94.9,95.0,95.1,95.2,95.3,95.4,95.5,95.6,95.7,95.8,95.8,95.9,95.9,sani
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,97.5,97.5,97.5,97.5,97.6,97.6,97.5,97.4,97.4,97.3,97.2,97.1,97.0,96.9,96.8,96.7,96.6,96.5,96.4,96.3,96.2,water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558886.3125,521896.4375,479578.3125,387023.5625,321554.03125,278551.875,252494.078125,232486.953125,222662.875,220065.796875,223742.53125,234813.640625,246143.875,269261.125,308570.90625,335100.875,368526.8125,417854.75,447101.625,384854.21875,414248.25,456093.75,474170.0,487013.59375,465087.375,,rgdpe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556332.625,516134.65625,472826.3125,378029.3125,308552.1875,270231.1875,259987.96875,235471.21875,224278.28125,217072.859375,216387.90625,229865.703125,239436.1875,265515.0625,292413.3125,338513.1875,375902.34375,427316.28125,460725.21875,388490.03125,422732.5,469924.625,487403.0625,498015.875,462787.625,,rgdpo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.370008999999996,51.36072,51.31408,51.216988,51.052752,50.811673,50.489565999999996,50.096497,49.655175,49.196895,48.746269,48.310815999999996,47.890647,47.493770999999995,47.127109999999995,46.795313,46.502717999999994,46.249196,46.028476,45.830711,45.647497,45.477689999999996,45.319949,45.165211,45.002497,,pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.294883728027344,24.81733512878418,24.243284225463867,23.636917114257812,22.76479148864746,23.920827865600586,23.9615535736084,23.627361297607422,22.868183135986328,19.931163787841797,20.068099975585938,19.890058517456055,20.02143669128418,20.089696884155273,20.218917846679688,20.60742950439453,20.677799224853516,20.881519317626953,20.987585067749023,20.248783111572266,19.277856826782227,19.376956939697266,19.461179733276367,19.5704402923584,18.36319351196289,,emp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.765498161315918,2.7998762130737305,2.834681749343872,2.869920015335083,2.9055960178375244,2.941715717315674,2.96716570854187,2.9928359985351562,3.018728256225586,3.044844627380371,3.0711867809295654,3.0913338661193848,3.1116127967834473,3.1320250034332275,3.152570962905884,3.1732516288757324,3.181306838989258,3.189382791519165,3.197478771209717,3.2055957317352295,3.213732957839966,3.2219724655151367,3.2302608489990234,3.238597869873047,3.2469842433929443,,hc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350962.0625,335801.0,322141.65625,273979.84375,245983.921875,233273.3125,214564.75,199018.65625,188874.265625,175479.96875,175253.25,188919.234375,193126.65625,211896.59375,232368.890625,276784.4375,311033.28125,356501.0,398493.40625,351731.8125,385002.84375,438373.0,469163.0625,490740.46875,462123.96875,,ccon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532176.5,480875.03125,442950.03125,365614.1875,310531.34375,266907.53125,238806.9375,223478.453125,213446.96875,196165.609375,201921.921875,221062.78125,225783.109375,252554.65625,275561.875,326566.8125,370415.59375,431245.625,475588.125,385431.125,423084.59375,483426.34375,510904.25,525827.5,483576.28125,,cda
