Statistic,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015
DTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,4.0,,8.0,,14.0,,27.0,,40.0,,60.0,,62.0,,62.0,,53.0,,51.0,,46.0,,48.0,,56.0,,55.0,,46.0,,55.0,,62.0,,66.0,,60.0,,69.0,,74.0,,78.0,,78.0,,84.0,,86.0,,81.0,,90.0,,93.0,,92.0,,93.0,,94.0,,
HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,60.0,,78.0,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,6.0,,11.0,,22.0,,44.0,,61.0,,57.0,,57.0,,52.0,,49.0,,48.0,,51.0,,59.0,,58.0,,49.0,,51.0,,58.0,,58.0,,58.0,,65.0,,67.0,,69.0,,73.0,,79.0,,79.0,,82.0,,90.0,,87.0,,85.0,,85.0,,86.0,,
pop,,,,,,,,,,,,,,,,,,,,,,,,,,13.879855,,14.302335,,14.741741999999999,,15.201023999999999,,15.683945,,16.19314,,16.728091,,17.287577,,17.872353,,18.48318,,19.119422999999998,,19.785179,,20.47756,,21.180743,,21.873563,,22.542526,,23.178656,,23.790654,,24.404315999999998,,25.055937999999998,,25.770993999999998,,26.560115,,27.413935,,28.313599,,29.230635,,30.144741,,31.05061,,31.956075,,32.869747,,33.805223999999995,,34.772663,,35.772959,,36.803215,,37.865280999999996,,38.960696999999996,,40.089911,,41.254715,,42.453455,,43.678736,,44.920474,,46.17136,,47.198355457935975,,48.21374123969105,,49.23992743377695,,50.3076686234122,
emp,,,,,,,,,,,,,,,,,,,,,,,,,,3.196816921234131,,3.300875186920166,,3.407271146774292,,3.4977078437805176,,3.610396385192871,,3.7261884212493896,,3.8445467948913574,,3.967207431793213,,4.0825018882751465,,4.192286491394043,,4.31107234954834,,4.638664722442627,,4.990394115447998,,5.193746089935303,,5.312780380249023,,5.423855304718018,,5.524781227111816,,5.617227077484131,,5.706725597381592,,5.800465106964111,,5.881905555725098,,5.993327617645264,,6.11776065826416,,6.232733726501465,,6.5530290603637695,,6.846709728240967,,7.122443675994873,,7.3423051834106445,,7.611936569213867,,7.86896276473999,,8.133347511291504,,8.416219711303711,,8.699684143066406,,8.990778923034668,,9.296707153320312,,9.619626998901367,,9.950061798095703,,10.30063533782959,,10.363896369934082,,10.727316856384277,,11.099142074584961,,11.41544246673584,,11.733540534973145,,12.004405975341797,,12.348893165588379,
avh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc,,,,,,,,,,,,,,,,,,,,,,,,,,1.0822433233261108,,1.0854264497756958,,1.0886188745498657,,1.0918205976486206,,1.0950318574905396,,1.098252534866333,,1.1042735576629639,,1.1103274822235107,,1.1164146661758423,,1.1225351095199585,,1.128689169883728,,1.1342298984527588,,1.1397978067398071,,1.1453930139541626,,1.1510157585144043,,1.1566660404205322,,1.1695421934127808,,1.1825617551803589,,1.1957261562347412,,1.209037184715271,,1.2224962711334229,,1.2381227016448975,,1.2539488077163696,,1.2699772119522095,,1.286210536956787,,1.3026514053344727,,1.318995475769043,,1.3355448246002197,,1.3523015975952148,,1.369268774986267,,1.3864487409591675,,1.4046998023986816,,1.4231911897659302,,1.4419258832931519,,1.4609073400497437,,1.4801386594772339,,1.4881876707077026,,1.496280550956726,,1.5044174194335938,,1.5125986337661743,,1.5208241939544678,,1.5306719541549683,,1.5405833721160889,,1.5505590438842773,,1.5605992078781128,
ccon,,,,,,,,,,,,,,,,,,,,,,,,,,18862.595703125,,19935.34375,,18259.97265625,,17592.5703125,,21073.341796875,,24405.138671875,,28492.423828125,,32676.86328125,,31666.83203125,,30082.021484375,,31755.857421875,,34363.58203125,,38167.9296875,,34545.328125,,35117.7890625,,34647.31640625,,37283.53125,,38615.9453125,,39801.21875,,39512.65234375,,42115.6015625,,45424.5390625,,45479.86328125,,44053.62890625,,45886.31640625,,46298.125,,47494.546875,,51289.6953125,,51033.1796875,,59312.203125,,62535.2265625,,60968.7421875,,62833.59765625,,64999.25390625,,69080.2578125,,87135.4140625,,108225.5625,,105494.5,,101781.9453125,,118835.0390625,,130105.296875,,143880.125,,139907.375,,144712.484375,,147349.640625,
cda,,,,,,,,,,,,,,,,,,,,,,,,,,19240.404296875,,20258.8671875,,18565.55078125,,18047.8671875,,21692.349609375,,25245.6171875,,29430.68359375,,33453.390625,,32309.33984375,,30685.37890625,,32392.25390625,,35260.140625,,38802.9140625,,35032.22265625,,35307.35546875,,34988.15625,,37824.2109375,,38946.48828125,,40383.8515625,,39809.63671875,,42674.38671875,,46078.375,,46449.91015625,,45021.6328125,,47035.0703125,,47427.1328125,,49982.94140625,,54222.02734375,,57040.28515625,,63212.859375,,66731.578125,,67513.046875,,71690.5859375,,76694.1953125,,82964.484375,,103675.1640625,,124337.75,,123421.8046875,,122347.6953125,,142554.515625,,159656.15625,,176447.28125,,164956.234375,,170334.578125,,172228.3125,
cgdpe,,,,,,,,,,,,,,,,,,,,,,,,,,18825.73828125,,19824.365234375,,17851.64453125,,16455.451171875,,19455.84375,,23466.453125,,27686.4765625,,31462.048828125,,29295.8828125,,26645.51953125,,28002.5078125,,30931.447265625,,35369.92578125,,32434.220703125,,32705.37890625,,33596.59765625,,36652.5078125,,37632.42578125,,39553.64453125,,38686.96875,,41238.4375,,43230.95703125,,42243.47265625,,42299.3125,,44702.8984375,,45238.33203125,,46349.9921875,,48183.984375,,49184.31640625,,58287.6015625,,64775.6015625,,65313.08984375,,67383.4140625,,73976.2109375,,80461.5234375,,93860.6796875,,111965.2890625,,118534.75,,122684.015625,,135979.359375,,160767.40625,,180282.328125,,159956.890625,,180188.359375,,189374.21875,
cgdpo,,,,,,,,,,,,,,,,,,,,,,,,,,19765.103515625,,20655.072265625,,19207.802734375,,18584.84765625,,21363.625,,24767.62109375,,29336.349609375,,32871.796875,,31501.2265625,,29854.736328125,,30693.8984375,,32708.81640625,,36237.5,,33718.77734375,,33980.125,,34257.265625,,37162.50390625,,38114.3203125,,39936.90234375,,39213.8671875,,41813.73828125,,44795.0546875,,44032.0703125,,43344.89453125,,45788.54296875,,46333.78125,,48674.21484375,,51617.51171875,,53493.296875,,61627.96484375,,66340.15625,,66964.4140625,,70354.2265625,,76310.4140625,,82910.609375,,98863.296875,,117832.0234375,,123054.2734375,,126977.953125,,140901.953125,,159898.59375,,173154.0,,151972.609375,,173959.609375,,185208.359375,
ck,,,,,,,,,,,,,,,,,,,,,,,,,,6395.79638671875,,6403.56884765625,,6406.9248046875,,6551.80615234375,,6876.404296875,,7257.83740234375,,7547.8564453125,,7831.96484375,,8068.18701171875,,8254.23828125,,8434.02734375,,8761.3095703125,,8830.3212890625,,8505.7294921875,,8210.0244140625,,8034.47509765625,,8192.416015625,,8142.04833984375,,8270.4208984375,,8136.0859375,,8247.6708984375,,8346.068359375,,8666.3720703125,,9122.478515625,,9767.650390625,,10425.78125,,12070.0546875,,14024.07421875,,18488.05859375,,20967.5625,,23080.0703125,,25906.42578125,,30975.28125,,37743.515625,,46940.59765625,,58840.65625,,77586.734375,,99324.453125,,126788.9921875,,164500.609375,,226555.8125,,348512.34375,,361266.84375,,382326.8125,,406142.03125,
ctfp,,,,,,,,,,,,,,,,,,,,,,,,,,0.8084138631820679,,0.829740047454834,,0.7423286437988281,,0.6915051341056824,,0.7990173697471619,,0.9257136583328247,,1.044914722442627,,1.1270884275436401,,1.0429152250289917,,0.9696700572967529,,0.9885891675949097,,1.0013909339904785,,1.0696226358413696,,0.967967689037323,,0.9386237859725952,,0.9204425811767578,,0.9595678448677063,,0.9492167234420776,,0.9484800100326538,,0.922130286693573,,0.9511684775352478,,0.9915268421173096,,0.9063156843185425,,0.8628519773483276,,0.8556485772132874,,0.8155564069747925,,0.6720499992370605,,0.5901034474372864,,0.6021171808242798,,0.7623170614242554,,0.8154184818267822,,0.7612742781639099,,0.6777968406677246,,0.7044099569320679,,0.7309569716453552,,0.7923650741577148,,0.8711953163146973,,0.8099120259284973,,0.7544586658477783,,0.7485959529876709,,0.7139710783958435,,0.6284940838813782,,0.5296615362167358,,0.5844013690948486,,0.5918043255805969,
