,0,1,2,3,4
97,Madagascar,Malaysia,Libya,Vanuatu,Liberia
98,Malawi,Maldives,Lithuania,Venezuela (Bolivarian Republic of),Libya
99,Malaysia,Mali,Luxembourg,Viet Nam,Lithuania
100,Maldives,Malta,Madagascar,Yemen,Luxembourg
101,Mali,Marshall Islands,Malawi,Zambia,Madagascar
102,Malta,Mauritania,Malaysia,Zimbabwe,Malawi
103,Marshall Islands,Mauritius,Maldives,,Malaysia
104,Mauritania,Mexico,Mali,,Maldives
105,Mauritius,Micronesia (Federated States of),Malta,,Mali
106,Mexico,Monaco,Marshall Islands,,Malta
107,Micronesia (Federated States of),Mongolia,Mauritania,,Marshall Islands
108,Monaco,Montenegro,Mauritius,,Mauritania
109,Mongolia,Morocco,Mexico,,Mauritius
110,Montenegro,Mozambique,Micronesia (Federated States of),,Mexico
111,Morocco,Myanmar,Monaco,,Micronesia (Federated States of)
112,Mozambique,Namibia,Mongolia,,Monaco
113,Myanmar,Nauru,Montenegro,,Mongolia
114,Namibia,Nepal,Morocco,,Montenegro
115,Nauru,Netherlands,Mozambique,,Morocco
116,Nepal,New Zealand,Myanmar,,Mozambique
117,Netherlands,Nicaragua,Namibia,,Myanmar
118,New Zealand,Niger,Nauru,,Namibia
119,Nicaragua,Nigeria,Nepal,,Nauru
120,Niger,Niue,Netherlands,,Nepal
121,Nigeria,Oman,New Zealand,,Netherlands
122,Niue,Pakistan,Nicaragua,,New Zealand
123,Norway,Palau,Niger,,Nicaragua
124,Oman,Panama,Nigeria,,Niger
125,Pakistan,Papua New Guinea,Niue,,Nigeria
126,Palau,Paraguay,Norway,,Niue
127,Panama,Peru,Oman,,Norway
128,Papua New Guinea,Philippines,Pakistan,,Oman
129,Paraguay,Poland,Palau,,Pakistan
130,Peru,Portugal,Panama,,Palau
131,Philippines,Qatar,Papua New Guinea,,Panama
132,Poland,Republic of Korea,Paraguay,,Papua New Guinea
133,Portugal,Republic of Moldova,Peru,,Paraguay
134,Qatar,Romania,Philippines,,Peru
135,Republic of Korea,Russian Federation,Poland,,Philippines
136,Republic of Moldova,Rwanda,Portugal,,Poland
137,Romania,Saint Kitts and Nevis,Qatar,,Portugal
138,Russian Federation,Saint Lucia,Republic of Korea,,Qatar
139,Rwanda,Saint Vincent and the Grenadines,Republic of Moldova,,Republic of Korea
